"CityServiceValcon, LLC (CSV)",,,,,,,,,,,
,,,,,,,,,,,
"Customer/
Invoice
Number",Invoice,Due,unk,Invoice Amount,Discount Amount,Invoice Balance,TransType,TransDate, TransAmount ,"Check
Number/Type","Deposit
Date"
5860738-PP,10/13/2025,10/13/2025,1/0/1900,"1,037.11-",0.00,"1,037.11-",PRE,10/13/2025," (1,037.11)",C5860738,10/13/2025
5860739-PP,10/13/2025,10/13/2025,1/0/1900,19.04,0.00,19.04,PRE,10/13/2025, 19.04 ,F5860739,10/13/2025
5860740-PP,10/13/2025,10/13/2025,1/0/1900,239.59-,0.00,239.59-,PRE,10/13/2025, (239.59),C5860740,10/13/2025
5860741-PP,10/13/2025,10/13/2025,1/0/1900,4.50,0.00,4.50,PRE,10/13/2025, 4.50 ,F5860741,10/13/2025
5860742-PP,10/13/2025,10/13/2025,1/0/1900,842.83-,0.00,842.83-,PRE,10/13/2025, (842.83),C5860742,10/13/2025
5860743-PP,10/13/2025,10/13/2025,1/0/1900,16.55,0.00,16.55,PRE,10/13/2025, 16.55 ,F5860743,10/13/2025
5863074-PP,10/13/2025,10/13/2025,1/0/1900,991.96-,0.00,991.96-,PRE,10/13/2025, (991.96),C5863074,10/13/2025
5863075-PP,10/13/2025,10/13/2025,1/0/1900,19.36,0.00,19.36,PRE,10/13/2025, 19.36 ,F5863075,10/13/2025
5863076-PP,10/13/2025,10/13/2025,1/0/1900,950.57-,0.00,950.57-,PRE,10/13/2025, (950.57),C5863076,10/13/2025
5863077-PP,10/13/2025,10/13/2025,1/0/1900,20.68,0.00,20.68,PRE,10/13/2025, 20.68 ,F5863077,10/13/2025
5863078-PP,10/13/2025,10/13/2025,1/0/1900,"1,070.70-",0.00,"1,070.70-",PRE,10/13/2025," (1,070.70)",C5863078,10/13/2025
5863079-PP,10/13/2025,10/13/2025,1/0/1900,20.42,0.00,20.42,PRE,10/13/2025, 20.42 ,F5863079,10/13/2025
5863080-PP,10/13/2025,10/13/2025,1/0/1900,759.81-,0.00,759.81-,PRE,10/13/2025, (759.81),C5863080,10/13/2025
5863081-PP,10/13/2025,10/13/2025,1/0/1900,15.85,0.00,15.85,PRE,10/13/2025, 15.85 ,F5863081,10/13/2025
5863082-PP,10/13/2025,10/13/2025,1/0/1900,329.36-,0.00,329.36-,PRE,10/13/2025, (329.36),C5863082,10/13/2025
5863083-PP,10/13/2025,10/13/2025,1/0/1900,7.41,0.00,7.41,PRE,10/13/2025, 7.41 ,F5863083,10/13/2025
5863084-PP,10/13/2025,10/13/2025,1/0/1900,"1,103.94-",0.00,"1,103.94-",PRE,10/13/2025," (1,103.94)",C5863084,10/13/2025
5863085-PP,10/13/2025,10/13/2025,1/0/1900,21.08,0.00,21.08,PRE,10/13/2025, 21.08 ,F5863085,10/13/2025
5865166-PP,10/14/2025,10/14/2025,1/0/1900,833.65-,0.00,833.65-,PRE,10/14/2025, (833.65),C5865166,10/14/2025
5865167-PP,10/14/2025,10/14/2025,1/0/1900,17.76,0.00,17.76,PRE,10/14/2025, 17.76 ,F5865167,10/14/2025
5865168-PP,10/14/2025,10/14/2025,1/0/1900,"1,224.61-",0.00,"1,224.61-",PRE,10/14/2025," (1,224.61)",C5865168,10/14/2025
5865169-PP,10/14/2025,10/14/2025,1/0/1900,23.86,0.00,23.86,PRE,10/14/2025, 23.86 ,F5865169,10/14/2025
5865170-PP,10/14/2025,10/14/2025,1/0/1900,918.06-,0.00,918.06-,PRE,10/14/2025, (918.06),C5865170,10/14/2025
5865171-PP,10/14/2025,10/14/2025,1/0/1900,18.80,0.00,18.80,PRE,10/14/2025, 18.80 ,F5865171,10/14/2025
5865172-PP,10/14/2025,10/14/2025,1/0/1900,"1,005.94-",0.00,"1,005.94-",PRE,10/14/2025," (1,005.94)",C5865172,10/14/2025
5865173-PP,10/14/2025,10/14/2025,1/0/1900,18.60,0.00,18.60,PRE,10/14/2025, 18.60 ,F5865173,10/14/2025
5865174-PP,10/14/2025,10/14/2025,1/0/1900,857.01-,0.00,857.01-,PRE,10/14/2025, (857.01),C5865174,10/14/2025
5865175-PP,10/14/2025,10/14/2025,1/0/1900,19.11,0.00,19.11,PRE,10/14/2025, 19.11 ,F5865175,10/14/2025
5865176-PP,10/14/2025,10/14/2025,1/0/1900,856.02-,0.00,856.02-,PRE,10/14/2025, (856.02),C5865176,10/14/2025
5865177-PP,10/14/2025,10/14/2025,1/0/1900,16.40,0.00,16.40,PRE,10/14/2025, 16.40 ,F5865177,10/14/2025
5867413-PP,10/15/2025,10/15/2025,1/0/1900,"1,151.63-",0.00,"1,151.63-",PRE,10/15/2025," (1,151.63)",C5867413,10/15/2025
5867414-PP,10/15/2025,10/15/2025,1/0/1900,22.53,0.00,22.53,PRE,10/15/2025, 22.53 ,F5867414,10/15/2025
5867415-PP,10/15/2025,10/15/2025,1/0/1900,"1,121.19-",0.00,"1,121.19-",PRE,10/15/2025," (1,121.19)",C5867415,10/15/2025
5867416-PP,10/15/2025,10/15/2025,1/0/1900,23.30,0.00,23.30,PRE,10/15/2025, 23.30 ,F5867416,10/15/2025
5867417-PP,10/15/2025,10/15/2025,1/0/1900,859.37-,0.00,859.37-,PRE,10/15/2025, (859.37),C5867417,10/15/2025
5867418-PP,10/15/2025,10/15/2025,1/0/1900,17.36,0.00,17.36,PRE,10/15/2025, 17.36 ,F5867418,10/15/2025
5867419-PP,10/15/2025,10/15/2025,1/0/1900,"1,112.56-",0.00,"1,112.56-",PRE,10/15/2025," (1,112.56)",C5867419,10/15/2025
5867420-PP,10/15/2025,10/15/2025,1/0/1900,22.91,0.00,22.91,PRE,10/15/2025, 22.91 ,F5867420,10/15/2025
5867421-PP,10/15/2025,10/15/2025,1/0/1900,988.80-,0.00,988.80-,PRE,10/15/2025, (988.80),C5867421,10/15/2025
5867422-PP,10/15/2025,10/15/2025,1/0/1900,19.54,0.00,19.54,PRE,10/15/2025, 19.54 ,F5867422,10/15/2025
5867423-PP,10/15/2025,10/15/2025,1/0/1900,"1,179.17-",0.00,"1,179.17-",PRE,10/15/2025," (1,179.17)",C5867423,10/15/2025
5867424-PP,10/15/2025,10/15/2025,1/0/1900,22.83,0.00,22.83,PRE,10/15/2025, 22.83 ,F5867424,10/15/2025
5867425-PP,10/15/2025,10/15/2025,1/0/1900,856.27-,0.00,856.27-,PRE,10/15/2025, (856.27),C5867425,10/15/2025
5867426-PP,10/15/2025,10/15/2025,1/0/1900,16.34,0.00,16.34,PRE,10/15/2025, 16.34 ,F5867426,10/15/2025
5869713-PP,10/16/2025,10/16/2025,1/0/1900,990.25-,0.00,990.25-,PRE,10/16/2025, (990.25),C5869713,10/16/2025
5869714-PP,10/16/2025,10/16/2025,1/0/1900,17.72,0.00,17.72,PRE,10/16/2025, 17.72 ,F5869714,10/16/2025
5869715-PP,10/16/2025,10/16/2025,1/0/1900,"1,026.31-",0.00,"1,026.31-",PRE,10/16/2025," (1,026.31)",C5869715,10/16/2025
5869716-PP,10/16/2025,10/16/2025,1/0/1900,21.07,0.00,21.07,PRE,10/16/2025, 21.07 ,F5869716,10/16/2025
5869717-PP,10/16/2025,10/16/2025,1/0/1900,971.51-,0.00,971.51-,PRE,10/16/2025, (971.51),C5869717,10/16/2025
5869718-PP,10/16/2025,10/16/2025,1/0/1900,17.56,0.00,17.56,PRE,10/16/2025, 17.56 ,F5869718,10/16/2025
5869719-PP,10/16/2025,10/16/2025,1/0/1900,"1,119.68-",0.00,"1,119.68-",PRE,10/16/2025," (1,119.68)",C5869719,10/16/2025
5869720-PP,10/16/2025,10/16/2025,1/0/1900,23.50,0.00,23.50,PRE,10/16/2025, 23.50 ,F5869720,10/16/2025
5869721-PP,10/16/2025,10/16/2025,1/0/1900,"1,122.60-",0.00,"1,122.60-",PRE,10/16/2025," (1,122.60)",C5869721,10/16/2025
5869722-PP,10/16/2025,10/16/2025,1/0/1900,20.02,0.00,20.02,PRE,10/16/2025, 20.02 ,F5869722,10/16/2025
5869723-PP,10/16/2025,10/16/2025,1/0/1900,695.99-,0.00,695.99-,PRE,10/16/2025, (695.99),C5869723,10/16/2025
5869724-PP,10/16/2025,10/16/2025,1/0/1900,13.70,0.00,13.70,PRE,10/16/2025, 13.70 ,F5869724,10/16/2025
5872064-PP,10/17/2025,10/17/2025,1/0/1900,"1,062.83-",0.00,"1,062.83-",PRE,10/17/2025," (1,062.83)",C5872064,10/17/2025
5872065-PP,10/17/2025,10/17/2025,1/0/1900,19.23,0.00,19.23,PRE,10/17/2025, 19.23 ,F5872065,10/17/2025
5872066-PP,10/17/2025,10/17/2025,1/0/1900,796.07-,0.00,796.07-,PRE,10/17/2025, (796.07),C5872066,10/17/2025
5872067-PP,10/17/2025,10/17/2025,1/0/1900,15.92,0.00,15.92,PRE,10/17/2025, 15.92 ,F5872067,10/17/2025
5872068-PP,10/17/2025,10/17/2025,1/0/1900,937.88-,0.00,937.88-,PRE,10/17/2025, (937.88),C5872068,10/17/2025
5872069-PP,10/17/2025,10/17/2025,1/0/1900,18.71,0.00,18.71,PRE,10/17/2025, 18.71 ,F5872069,10/17/2025
5872070-PP,10/17/2025,10/17/2025,1/0/1900,"1,094.54-",0.00,"1,094.54-",PRE,10/17/2025," (1,094.54)",C5872070,10/17/2025
5872071-PP,10/17/2025,10/17/2025,1/0/1900,20.57,0.00,20.57,PRE,10/17/2025, 20.57 ,F5872071,10/17/2025
5872072-PP,10/17/2025,10/17/2025,1/0/1900,930.96-,0.00,930.96-,PRE,10/17/2025, (930.96),C5872072,10/17/2025
5872073-PP,10/17/2025,10/17/2025,1/0/1900,19.72,0.00,19.72,PRE,10/17/2025, 19.72 ,F5872073,10/17/2025
5872074-PP,10/17/2025,10/17/2025,1/0/1900,992.03-,0.00,992.03-,PRE,10/17/2025, (992.03),C5872074,10/17/2025
5872075-PP,10/17/2025,10/17/2025,1/0/1900,19.08,0.00,19.08,PRE,10/17/2025, 19.08 ,F5872075,10/17/2025
5874543-PP,10/20/2025,10/20/2025,1/0/1900,840.52-,0.00,840.52-,PRE,10/20/2025, (840.52),C5874543,10/20/2025
5874544-PP,10/20/2025,10/20/2025,1/0/1900,17.90,0.00,17.90,PRE,10/20/2025, 17.90 ,F5874544,10/20/2025
5874545-PP,10/20/2025,10/20/2025,1/0/1900,953.99-,0.00,953.99-,PRE,10/20/2025, (953.99),C5874545,10/20/2025
5874546-PP,10/20/2025,10/20/2025,1/0/1900,17.32,0.00,17.32,PRE,10/20/2025, 17.32 ,F5874546,10/20/2025
5874547-PP,10/20/2025,10/20/2025,1/0/1900,997.46-,0.00,997.46-,PRE,10/20/2025, (997.46),C5874547,10/20/2025
5874548-PP,10/20/2025,10/20/2025,1/0/1900,19.90,0.00,19.90,PRE,10/20/2025, 19.90 ,F5874548,10/20/2025
5874549-PP,10/20/2025,10/20/2025,1/0/1900,"1,182.88-",0.00,"1,182.88-",PRE,10/20/2025," (1,182.88)",C5874549,10/20/2025
5874550-PP,10/20/2025,10/20/2025,1/0/1900,21.66,0.00,21.66,PRE,10/20/2025, 21.66 ,F5874550,10/20/2025
5874551-PP,10/20/2025,10/20/2025,1/0/1900,"1,139.02-",0.00,"1,139.02-",PRE,10/20/2025," (1,139.02)",C5874551,10/20/2025
5874552-PP,10/20/2025,10/20/2025,1/0/1900,21.36,0.00,21.36,PRE,10/20/2025, 21.36 ,F5874552,10/20/2025
5874553-PP,10/20/2025,10/20/2025,1/0/1900,895.78-,0.00,895.78-,PRE,10/20/2025, (895.78),C5874553,10/20/2025
5874554-PP,10/20/2025,10/20/2025,1/0/1900,16.81,0.00,16.81,PRE,10/20/2025, 16.81 ,F5874554,10/20/2025
5874555-PP,10/20/2025,10/20/2025,1/0/1900,473.22-,0.00,473.22-,PRE,10/20/2025, (473.22),C5874555,10/20/2025
5874556-PP,10/20/2025,10/20/2025,1/0/1900,8.48,0.00,8.48,PRE,10/20/2025, 8.48 ,F5874556,10/20/2025
5874557-PP,10/20/2025,10/20/2025,1/0/1900,938.31-,0.00,938.31-,PRE,10/20/2025, (938.31),C5874557,10/20/2025
5874558-PP,10/20/2025,10/20/2025,1/0/1900,18.43,0.00,18.43,PRE,10/20/2025, 18.43 ,F5874558,10/20/2025
W266108-IN,10/15/2025,10/22/2025,1/0/1900,193.75,0.00,193.75,INV,10/16/2025, 193.75 ,,
Customer 0003017 Totals:,,,,"22,261.84-",0.00,"22,261.84-",,," (22,261.84)",,
0003026 MT Bottle Inc,,,,,,,,,,,
0082925-PP,8/29/2025,8/29/2025,1/0/1900,363.00-,0.00,363.00-,PRE,8/29/2025, (363.00),11858,8/29/2025
0091225-PP,9/11/2025,9/11/2025,1/0/1900,791.82-,0.00,791.82-,PRE,9/11/2025, (791.82),11872,9/11/2025
S343660-IN,9/15/2025,10/10/2025,1/0/1900,809.75,0.00,809.75,INV,9/16/2025, 809.75 ,,
S345419-IN,10/6/2025,11/10/2025,1/0/1900,914.03,0.00,914.03,INV,10/8/2025, 914.03 ,,
Customer 0003026 Totals:,,,,568.96,0.00,568.96,,, 568.96 ,,
0003027 Bruce & Yvonne Cieslinski,,,,,,,,,,,
0061625-PP,6/16/2025,6/16/2025,1/0/1900,39.96-,0.00,39.96-,PRE,6/16/2025, (39.96),2957,6/16/2025
Customer 0003027 Totals:,,,,39.96-,0.00,39.96-,,, (39.96),,
0003030 Annette Bodey,,,,,,,,,,,
0100225-PP,10/2/2025,10/2/2025,1/0/1900,114.14-,0.00,114.14-,PRE,10/2/2025, (114.14),6456,10/2/2025
Customer 0003030 Totals:,,,,114.14-,0.00,114.14-,,, (114.14),,
0003033 Mark Cheff Logging Inc,,,,,,,,,,,
CL49262-IN,10/15/2025,10/25/2025,1/0/1900,"4,303.00",0.00,"4,303.00",INV,10/15/2025," 4,303.00 ",,
CL49328-IN,10/16/2025,11/10/2025,1/0/1900,116.21,0.00,116.21,INV,10/16/2025, 116.21 ,,
Customer 0003033 Totals:,,,,"4,419.21",0.00,"4,419.21",,," 4,419.21 ",,
0003034 Katherine L Melvin,,,,,,,,,,,
0051324-PP,5/13/2024,5/13/2024,1/0/1900,436.02-,0.00,287.22-,PRE,5/13/2024, (436.02),7199,5/13/2024
,,,,,,,PAY,10/7/2024, 48.10 ,APPLY1024,10/7/2024
,,,,,,,PAY,8/28/2025, 100.70 ,APPLY08.25,8/28/2025
Customer 0003034 Totals:,,,,436.02-,0.00,287.22-,,, (287.22),,
0003057 Jessica & Ronald Powers,,,,,,*** On Credit Hold ***,,,,,
AUG0081-FC,8/31/2025,8/31/2025,1/0/1900,0.88,0.00,0.88,F/C,8/31/2025, 0.88 ,,
JUL0064-FC,7/31/2025,7/31/2025,1/0/1900,0.88,0.00,0.88,F/C,7/31/2025, 0.88 ,,
JUN0059-FC,6/30/2025,6/30/2025,1/0/1900,0.88,0.00,0.88,F/C,6/30/2025, 0.88 ,,
MAY0057-FC,5/31/2025,5/31/2025,1/0/1900,0.88,0.00,0.88,F/C,5/31/2025, 0.88 ,,
SEP0079-FC,9/30/2025,9/30/2025,1/0/1900,0.88,0.00,0.88,F/C,9/30/2025, 0.88 ,,
W244775-IN,4/11/2025,5/10/2025,1/0/1900,70.00,0.00,70.00,INV,4/11/2025, 70.00 ,,
Customer 0003057 Totals:,,,,74.40,0.00,74.40,,, 74.40 ,,
0003072 Points North of Rollins LLC,,,,,,*** Credit Limit Exceeded ***,,,,,
0889722-IN,10/14/2025,10/24/2025,1/0/1900,"29,260.77",0.00,"29,260.77",INV,10/17/2025," 29,260.77 ",,
Customer 0003072 Totals:,,,,"29,260.77",0.00,"29,260.77",,," 29,260.77 ",,
0003079 David Aasheim,,,,,,,,,,,
S050452-IN,10/13/2025,11/10/2025,1/0/1900,960.23,0.00,960.23,INV,10/14/2025, 960.23 ,,
Customer 0003079 Totals:,,,,960.23,0.00,960.23,,, 960.23 ,,
0003088 Edward Labudde &,,,,,,*** On Credit Hold ***,,,,,
AUG0082-FC,8/31/2025,8/31/2025,1/0/1900,10.42,0.00,10.42,F/C,8/31/2025, 10.42 ,,
JUL0066-FC,7/31/2025,7/31/2025,1/0/1900,10.42,0.00,10.42,F/C,7/31/2025, 10.42 ,,
SEP0080-FC,9/30/2025,9/30/2025,1/0/1900,10.42,0.00,10.42,F/C,9/30/2025, 10.42 ,,
Customer 0003088 Totals:,,,,31.26,0.00,31.26,,, 31.26 ,,
0003111 Dianne Derse,,,,,,,,,,,
PB0925-PP,9/22/2025,9/22/2025,1/0/1900,"1,538.01-",0.00,"1,560.00-",PRE,9/22/2025," (1,538.01)",,9/22/2025
,,,,,,,PAY,9/30/2025, (21.99),ADJ0925,9/30/2025
Customer 0003111 Totals:,,,,"1,538.01-",0.00,"1,560.00-",,," (1,560.00)",,
0003136 Lynn & Jeanne Bendickson,,,,,,,,,,,
S340820-IN,8/15/2025,9/10/2025,1/0/1900,656.25,0.00,456.00,INV,8/15/2025, 656.25 ,,
,,,,,,,PAY,9/17/2025, (200.25),WEBCC,9/17/2025
SEP0082-FC,9/30/2025,9/30/2025,1/0/1900,6.84,0.00,6.84,F/C,9/30/2025, 6.84 ,,
Customer 0003136 Totals:,,,,663.09,0.00,462.84,,, 462.84 ,,
0003139 Paul & Marlene Fifield,,,,,,,,,,,
PB0925-PP,9/10/2025,9/10/2025,1/0/1900,"1,755.00-",0.00,"1,755.00-",PRE,9/10/2025," (1,755.00)",18665,9/10/2025
Customer 0003139 Totals:,,,,"1,755.00-",0.00,"1,755.00-",,," (1,755.00)",,
0003140 Timothy & Julie Day,,,,,,*** On Credit Hold ***,,,,,
AUG0084-FC,8/31/2025,8/31/2025,1/0/1900,1.93,0.00,1.93,F/C,8/31/2025, 1.93 ,,
JUL0067-FC,7/31/2025,7/31/2025,1/0/1900,1.93,0.00,1.93,F/C,7/31/2025, 1.93 ,,
S021204-IN,6/2/2025,7/10/2025,1/0/1900,128.70,0.00,128.70,INV,6/2/2025, 128.70 ,,
SEP0083-FC,9/30/2025,9/30/2025,1/0/1900,1.93,0.00,1.93,F/C,9/30/2025, 1.93 ,,
Customer 0003140 Totals:,,,,134.49,0.00,134.49,,, 134.49 ,,
0003157 Steven Boehland,,,,,,,,,,,
0052225-PP,5/22/2025,5/22/2025,1/0/1900,50.00-,0.00,1.49-,PRE,5/22/2025, (50.00),0225043721,5/22/2025
,,,,,,,PAY,9/25/2025, 48.51 ,APPLY09.25,9/25/2025
0062025-PP,6/20/2025,6/20/2025,1/0/1900,50.00-,0.00,50.00-,PRE,6/20/2025, (50.00),0225799300,6/20/2025
PP0725-PP,7/31/2025,7/31/2025,1/0/1900,50.00-,0.00,50.00-,PRE,7/31/2025, (50.00),226679296,7/31/2025
PP0825-PP,8/25/2025,8/25/2025,1/0/1900,50.00-,0.00,50.00-,PRE,8/25/2025, (50.00),227515917,8/25/2025
PP0925-PP,9/26/2025,9/26/2025,1/0/1900,50.00-,0.00,50.00-,PRE,9/26/2025, (50.00),228289905,9/26/2025
Customer 0003157 Totals:,,,,250.00-,0.00,201.49-,,, (201.49),,
0003158 Ronald W Fleck,,,,,,,,,,,
S071935-IN,10/15/2025,11/10/2025,1/0/1900,481.78,0.00,481.78,INV,10/15/2025, 481.78 ,,
Customer 0003158 Totals:,,,,481.78,0.00,481.78,,, 481.78 ,,
0003168 April & Brian Bradshaw,,,,,,,,,,,
S338254-IN,8/13/2025,9/10/2025,1/0/1900,46.73,0.00,46.73,INV,8/13/2025, 46.73 ,,
S338255-IN,8/13/2025,9/10/2025,1/0/1900,110.08,0.00,110.08,INV,8/13/2025, 110.08 ,,
SEP0084-FC,9/30/2025,9/30/2025,1/0/1900,2.35,0.00,2.35,F/C,9/30/2025, 2.35 ,,
Customer 0003168 Totals:,,,,159.16,0.00,159.16,,, 159.16 ,,
0003176 Fast Eddie's Inc.,,,,,,,,,,,
0880084-IN,9/5/2025,10/10/2025,1/0/1900,412.50,0.00,412.50,INV,9/5/2025, 412.50 ,,
0880398-IN,9/11/2025,10/10/2025,1/0/1900,142.85,0.00,142.85,INV,9/11/2025, 142.85 ,,
0884862-IN,9/25/2025,10/22/2025,1/0/1900,"1,100.00",0.00,"1,100.00",INV,9/25/2025," 1,100.00 ",,
0886250-IN,9/29/2025,10/10/2025,1/0/1900,"1,000.00",0.00,"1,000.00",INV,9/29/2025," 1,000.00 ",,
0888176-IN,10/9/2025,11/10/2025,1/0/1900,"2,672.34",0.00,"2,672.34",INV,10/9/2025," 2,672.34 ",,
0888756-IN,10/16/2025,11/10/2025,1/0/1900,474.86,0.00,474.86,INV,10/16/2025, 474.86 ,,
Customer 0003176 Totals:,,,,"5,802.55",0.00,"5,802.55",,," 5,802.55 ",,
0003194 Michael T Davis,,,,,,,,,,,
S071424-IN,8/20/2025,9/10/2025,1/0/1900,93.03,0.00,86.38-,INV,8/20/2025, 93.03 ,,
,,,,,,,PAY,9/8/2025, (86.38),1246,9/8/2025
,,,,,,,PAY,9/11/2025, (93.03),1251,9/11/2025
W263775-IN,9/26/2025,10/10/2025,1/0/1900,75.39,0.00,75.39,INV,9/29/2025, 75.39 ,,
Customer 0003194 Totals:,,,,168.42,0.00,10.99-,,, (10.99),,
0003207 Derwood & Loretta Miller,,,,,,*** On Credit Hold ***,,,,,
0091725-PP,9/17/2025,9/17/2025,1/0/1900,5.66-,0.00,5.66-,PRE,9/17/2025, (5.66),3611,9/17/2025
Customer 0003207 Totals:,,,,5.66-,0.00,5.66-,,, (5.66),,
0003211 Bruce Deutsch,,,,,,,,,,,
0101025-PP,10/10/2025,10/10/2025,1/0/1900,556.66-,0.00,556.66-,PRE,10/10/2025, (556.66),CASH,10/10/2025
0120524-PP,12/5/2024,12/5/2024,1/0/1900,0.05-,0.00,0.05-,PRE,12/5/2024, (0.05),CASH,12/5/2024
PP1123-PP,11/7/2023,11/7/2023,1/0/1900,586.00-,0.00,586.00-,PRE,11/7/2023, (586.00),CASH,11/7/2023
S034418-IN,9/30/2025,10/3/2025,1/0/1900,556.67,0.00,556.67,INV,9/30/2025, 556.67 ,,
Customer 0003211 Totals:,,,,586.04-,0.00,586.04-,,, (586.04),,
0003215 Safeway Store  #1159,,,,,,,,,,,
S345623-IN,10/9/2025,11/10/2025,1/0/1900,"1,147.66",0.00,"1,147.66",INV,10/9/2025," 1,147.66 ",,
Customer 0003215 Totals:,,,,"1,147.66",0.00,"1,147.66",,," 1,147.66 ",,
0003216 Parker Murrey,,,,,,*** On Credit Hold ***,,,,,
APR0055-FC,4/30/2025,4/30/2025,1/0/1900,1.24,0.00,1.24,F/C,4/30/2025, 1.24 ,,
AUG0087-FC,8/31/2025,8/31/2025,1/0/1900,1.24,0.00,1.24,F/C,8/31/2025, 1.24 ,,
DEC0076-FC,12/31/2024,12/31/2024,1/0/1900,1.24,0.00,1.24,F/C,12/31/2024, 1.24 ,,
FEB0087-FC,2/28/2025,2/28/2025,1/0/1900,1.24,0.00,1.24,F/C,2/28/2025, 1.24 ,,
JAN0073-FC,1/31/2025,1/31/2025,1/0/1900,1.24,0.00,1.24,F/C,1/31/2025, 1.24 ,,
JUL0069-FC,7/31/2025,7/31/2025,1/0/1900,1.24,0.00,1.24,F/C,7/31/2025, 1.24 ,,
JUN0062-FC,6/30/2025,6/30/2025,1/0/1900,1.24,0.00,1.24,F/C,6/30/2025, 1.24 ,,
MAR0076-FC,3/31/2025,3/31/2025,1/0/1900,1.24,0.00,1.24,F/C,3/31/2025, 1.24 ,,
MAY0059-FC,5/31/2025,5/31/2025,1/0/1900,1.24,0.00,1.24,F/C,5/31/2025, 1.24 ,,
SEP0085-FC,9/30/2025,9/30/2025,1/0/1900,1.24,0.00,1.24,F/C,9/30/2025, 1.24 ,,
W234023-IN,12/16/2024,12/19/2024,1/0/1900,99.00,0.00,99.00,INV,12/19/2024, 99.00 ,,
Customer 0003216 Totals:,,,,111.40,0.00,111.40,,, 111.40 ,,
0003229 Michael K McKenzie,,,,,,,,,,,
S071959-IN,10/16/2025,10/26/2025,1/0/1900,152.51,0.00,152.51,INV,10/16/2025, 152.51 ,,
Customer 0003229 Totals:,,,,152.51,0.00,152.51,,, 152.51 ,,
0003233 Elisa & Donald Wilson,,,,,,,,,,,
S050291-IN,10/8/2025,11/10/2025,1/0/1900,411.40,0.00,411.40,INV,10/13/2025, 411.40 ,,
Customer 0003233 Totals:,,,,411.40,0.00,411.40,,, 411.40 ,,
0003243 Lisa M Mathews,,,,,,,,,,,
S021457-IN,10/9/2025,11/10/2025,1/0/1900,264.85,0.00,264.85,INV,10/9/2025, 264.85 ,,
Customer 0003243 Totals:,,,,264.85,0.00,264.85,,, 264.85 ,,
0003244 Lynn & Miles Hamilton,,,,,,*** Credit Limit Exceeded ***,,,,,
SEP0086-FC,9/30/2025,9/30/2025,1/0/1900,1.11,0.00,1.11,F/C,9/30/2025, 1.11 ,,
Customer 0003244 Totals:,,,,1.11,0.00,1.11,,, 1.11 ,,
0003248 Randolph Muller,,,,,,*** On Credit Hold ***,,,,,
S048269-IN,8/4/2025,9/10/2025,1/0/1900,451.30,0.00,238.25,INV,8/12/2025, 451.30 ,,
,,,,,,,PAY,10/9/2025, (28.05),VC100925,10/9/2025
,,,,,,,PAY,10/12/2025, (185.00),WEBCC,10/12/2025
Customer 0003248 Totals:,,,,451.30,0.00,238.25,,, 238.25 ,,
0003250 River Mountain Village Asst,,,,,,,,,,,
S342404-IN,9/2/2025,10/10/2025,1/0/1900,352.85,0.00,352.85,INV,9/3/2025, 352.85 ,,
S342405-IN,9/2/2025,10/10/2025,1/0/1900,162.53,0.00,162.53,INV,9/3/2025, 162.53 ,,
S344655-IN,10/2/2025,11/10/2025,1/0/1900,274.91,0.00,274.91,INV,10/2/2025, 274.91 ,,
S344656-IN,10/2/2025,11/10/2025,1/0/1900,202.42,0.00,202.42,INV,10/2/2025, 202.42 ,,
Customer 0003250 Totals:,,,,992.71,0.00,992.71,,, 992.71 ,,
0003253 Katie Sherrill,,,,,,,,,,,
PB1025-PP,10/3/2025,10/3/2025,1/0/1900,"1,575.00-",0.00,"1,575.00-",PRE,10/3/2025," (1,575.00)",1465,10/3/2025
Customer 0003253 Totals:,,,,"1,575.00-",0.00,"1,575.00-",,," (1,575.00)",,
0003256 David & Melissa Philips,,,,,,,,,,,
SEP0089-FC,9/30/2025,9/30/2025,1/0/1900,0.99,0.00,0.99,F/C,9/30/2025, 0.99 ,,
W259290-IN,8/21/2025,9/10/2025,1/0/1900,79.00,0.00,79.00,INV,8/21/2025, 79.00 ,,
Customer 0003256 Totals:,,,,79.99,0.00,79.99,,, 79.99 ,,
0003266 Elysian B McIntyre,,,,,,,,,,,
SEP0090-FC,9/30/2025,9/30/2025,1/0/1900,1.11,0.00,1.11,F/C,9/30/2025, 1.11 ,,
W259291-IN,8/21/2025,9/10/2025,1/0/1900,89.00,0.00,89.00,INV,8/21/2025, 89.00 ,,
Customer 0003266 Totals:,,,,90.11,0.00,90.11,,, 90.11 ,,
"0003268 Glacier Highland Resort, Inc.",,,,,,,,,,,
5871028-PP,10/17/2025,10/17/2025,1/0/1900,167.69-,0.00,167.69-,PRE,10/17/2025, (167.69),C5871028,10/17/2025
5871029-PP,10/17/2025,10/17/2025,1/0/1900,1.94,0.00,1.94,PRE,10/17/2025, 1.94 ,F5871029,10/17/2025
5873408-PP,10/20/2025,10/20/2025,1/0/1900,300.67-,0.00,300.67-,PRE,10/20/2025, (300.67),C5873408,10/20/2025
5873409-PP,10/20/2025,10/20/2025,1/0/1900,5.57,0.00,5.57,PRE,10/20/2025, 5.57 ,F5873409,10/20/2025
5873410-PP,10/20/2025,10/20/2025,1/0/1900,331.20-,0.00,331.20-,PRE,10/20/2025, (331.20),C5873410,10/20/2025
