Invoice,InvoiceDate,Due,Amount
5873316-PP,10/20/2025,10/20/2025,1.52
5873317-PP,10/20/2025,10/20/2025,-0.53
5873318-PP,10/20/2025,10/20/2025,-0.53
5873328-PP,10/20/2025,10/20/2025,0.23
5873329-PP,10/20/2025,10/20/2025,-1.62
5873330-PP,10/20/2025,10/20/2025,-0.91
5873331-PP,10/20/2025,10/20/2025,0.76
5873332-PP,10/20/2025,10/20/2025,-1.03
5873333-PP,10/20/2025,10/20/2025,5.56
5873334-PP,10/20/2025,10/20/2025,-0.35
5873365-PP,10/20/2025,10/20/2025,-2997.44
5873366-PP,10/20/2025,10/20/2025,65.04
S021481-IN,10/16/2025,11/10/2025,457.38
5873782-PP,10/20/2025,10/20/2025,-275.5
5873783-PP,10/20/2025,10/20/2025,3.84
CL49332-IN,10/16/2025,11/5/2025,134.04
S346644-IN,10/16/2025,11/10/2025,655.08
5875135-PP,10/20/2025,10/20/2025,-1339.72
5875136-PP,10/20/2025,10/20/2025,20.51
5875137-PP,10/20/2025,10/20/2025,-1523.54
5875138-PP,10/20/2025,10/20/2025,24.03
5875139-PP,10/20/2025,10/20/2025,-1753.32
5875140-PP,10/20/2025,10/20/2025,29.62
5875141-PP,10/20/2025,10/20/2025,-1716.31
5875142-PP,10/20/2025,10/20/2025,27.65
5875143-PP,10/20/2025,10/20/2025,-1495.55
5875144-PP,10/20/2025,10/20/2025,26.01
5875145-PP,10/20/2025,10/20/2025,-109.65
5875146-PP,10/20/2025,10/20/2025,2.47
5875147-PP,10/20/2025,10/20/2025,-2165.15
5875148-PP,10/20/2025,10/20/2025,32.07
5872222-PP,10/17/2025,10/17/2025,-935.87
5872223-PP,10/17/2025,10/17/2025,17.34
5872224-PP,10/17/2025,10/17/2025,-932.4
5872225-PP,10/17/2025,10/17/2025,20.2
5872226-PP,10/17/2025,10/17/2025,-1088.62
5872227-PP,10/17/2025,10/17/2025,21.69
5872228-PP,10/17/2025,10/17/2025,-689.63
5872229-PP,10/17/2025,10/17/2025,14.84
5872230-PP,10/17/2025,10/17/2025,-579.94
5872231-PP,10/17/2025,10/17/2025,11.86
5872232-PP,10/17/2025,10/17/2025,-972.69
5872233-PP,10/17/2025,10/17/2025,18.9
5872234-PP,10/17/2025,10/17/2025,-6.24
5872235-PP,10/17/2025,10/17/2025,0.16
5874734-PP,10/20/2025,10/20/2025,-880.1
5874735-PP,10/20/2025,10/20/2025,18.53
5874736-PP,10/20/2025,10/20/2025,-1178.37
5874737-PP,10/20/2025,10/20/2025,23.54
5874738-PP,10/20/2025,10/20/2025,-1253.24
5874739-PP,10/20/2025,10/20/2025,23.49
5874740-PP,10/20/2025,10/20/2025,-824.82
5874741-PP,10/20/2025,10/20/2025,17.72
5874742-PP,10/20/2025,10/20/2025,-455.27
5874743-PP,10/20/2025,10/20/2025,8.87
5874744-PP,10/20/2025,10/20/2025,-1060.56
5874745-PP,10/20/2025,10/20/2025,18.98
0890255-IN,10/16/2025,10/26/2025,23085.34
0890256-IN,10/16/2025,10/26/2025,33585.38
0888816-IN,10/16/2025,11/10/2025,3898.37
0888965-IN,10/16/2025,11/10/2025,1680
0890057-IN,10/17/2025,11/10/2025,2865.92
0890058-IN,10/17/2025,11/10/2025,1696.36
0889808-IN,10/20/2025,10/21/2025,1026.91
CL49358-IN,10/16/2025,10/21/2025,39.5
0887875-IN,10/16/2025,11/10/2025,1471.29
0889521-IN,10/16/2025,11/10/2025,2824.09
S346648-IN,10/16/2025,11/10/2025,405
S346649-IN,10/16/2025,11/10/2025,405.16
LP1025-PP,10/20/2025,10/20/2025,-100
S050481-IN,10/16/2025,11/10/2025,507.71
CL49359-IN,10/16/2025,10/21/2025,51.29
CL49360-IN,10/16/2025,10/21/2025,120.54
5874750-PP,10/20/2025,10/20/2025,-34
5874751-PP,10/20/2025,10/20/2025,0.21
5874752-PP,10/20/2025,10/20/2025,-837.18
5874753-PP,10/20/2025,10/20/2025,13.48
5874754-PP,10/20/2025,10/20/2025,-932.52
5874755-PP,10/20/2025,10/20/2025,15.86
5874756-PP,10/20/2025,10/20/2025,-1233.48
5874757-PP,10/20/2025,10/20/2025,21.45
5874758-PP,10/20/2025,10/20/2025,-924.06
5874759-PP,10/20/2025,10/20/2025,13.41
5874760-PP,10/20/2025,10/20/2025,-1051.14
5874761-PP,10/20/2025,10/20/2025,15.99
5874762-PP,10/20/2025,10/20/2025,-834.26
5874763-PP,10/20/2025,10/20/2025,14.14
5874764-PP,10/20/2025,10/20/2025,-978.82
5874765-PP,10/20/2025,10/20/2025,20.32
5874766-PP,10/20/2025,10/20/2025,-1186.26
5874767-PP,10/20/2025,10/20/2025,17.55
5874768-PP,10/20/2025,10/20/2025,-448.28
5874769-PP,10/20/2025,10/20/2025,7.46
5874770-PP,10/20/2025,10/20/2025,-441.23
5874771-PP,10/20/2025,10/20/2025,9.93
W995714-PP,10/19/2025,10/19/2025,-100
CL49361-IN,10/16/2025,11/10/2025,80.75
S346089-IN,10/16/2025,10/19/2025,140.94
CL49333-IN,10/16/2025,11/10/2025,489.46
5875149-PP,10/20/2025,10/20/2025,-1372.91
5875150-PP,10/20/2025,10/20/2025,24.73
5875151-PP,10/20/2025,10/20/2025,-1061.85
5875152-PP,10/20/2025,10/20/2025,21.91
5875153-PP,10/20/2025,10/20/2025,-1054.34
5875154-PP,10/20/2025,10/20/2025,19.95
5875155-PP,10/20/2025,10/20/2025,-1068.09
5875156-PP,10/20/2025,10/20/2025,21.79
5875157-PP,10/20/2025,10/20/2025,-946.05
5875158-PP,10/20/2025,10/20/2025,17.67
5875159-PP,10/20/2025,10/20/2025,-1396.04
5875160-PP,10/20/2025,10/20/2025,28.84
5875161-PP,10/20/2025,10/20/2025,-1319.37
5875162-PP,10/20/2025,10/20/2025,25.42
5875163-PP,10/20/2025,10/20/2025,-1010.13
5875164-PP,10/20/2025,10/20/2025,19.7
5875165-PP,10/20/2025,10/20/2025,-1328.56
5875166-PP,10/20/2025,10/20/2025,23.54
5873037-PP,10/20/2025,10/20/2025,-42.17
5873038-PP,10/20/2025,10/20/2025,1.04
5873039-PP,10/20/2025,10/20/2025,-2504.7
5873040-PP,10/20/2025,10/20/2025,55.78
5873041-PP,10/20/2025,10/20/2025,-4543.68
5873042-PP,10/20/2025,10/20/2025,106.45
5873043-PP,10/20/2025,10/20/2025,-2403.34
5873044-PP,10/20/2025,10/20/2025,59.23
0887878-IN,10/16/2025,11/5/2025,8367.25
5875032-PP,10/20/2025,10/20/2025,-1551.66
5875033-PP,10/20/2025,10/20/2025,50.43
5874772-PP,10/20/2025,10/20/2025,-1089.77
5874773-PP,10/20/2025,10/20/2025,20.5
5874774-PP,10/20/2025,10/20/2025,-1129.92
5874775-PP,10/20/2025,10/20/2025,21.23
5874776-PP,10/20/2025,10/20/2025,-1075.75
5874777-PP,10/20/2025,10/20/2025,25.09
5874778-PP,10/20/2025,10/20/2025,-1115.39
5874779-PP,10/20/2025,10/20/2025,24.87
5874780-PP,10/20/2025,10/20/2025,-1299.22
5874781-PP,10/20/2025,10/20/2025,25.96
5874782-PP,10/20/2025,10/20/2025,-850.12
5874783-PP,10/20/2025,10/20/2025,18.91
5874784-PP,10/20/2025,10/20/2025,-1103.3
5874785-PP,10/20/2025,10/20/2025,19.95
5874786-PP,10/20/2025,10/20/2025,-176.33
5874787-PP,10/20/2025,10/20/2025,2.76
5874788-PP,10/20/2025,10/20/2025,-1135.15
5874789-PP,10/20/2025,10/20/2025,24.24
5874790-PP,10/20/2025,10/20/2025,-107.18
5874791-PP,10/20/2025,10/20/2025,-0.49
5874599-PP,10/20/2025,10/20/2025,-174.98
5874600-PP,10/20/2025,10/20/2025,-2.68
5874601-PP,10/20/2025,10/20/2025,-664.71
5874602-PP,10/20/2025,10/20/2025,-1.61
5874603-PP,10/20/2025,10/20/2025,-1453.57
5874604-PP,10/20/2025,10/20/2025,26.35
5874605-PP,10/20/2025,10/20/2025,-1623.87
5874606-PP,10/20/2025,10/20/2025,29.56
5874607-PP,10/20/2025,10/20/2025,-1976.66
5874608-PP,10/20/2025,10/20/2025,32.08
5874609-PP,10/20/2025,10/20/2025,-1508.37
5874610-PP,10/20/2025,10/20/2025,25.89
5874611-PP,10/20/2025,10/20/2025,-1368.05
5874612-PP,10/20/2025,10/20/2025,23.73
5874613-PP,10/20/2025,10/20/2025,-1541.3
5874614-PP,10/20/2025,10/20/2025,28.83
5874615-PP,10/20/2025,10/20/2025,-1597.49
5874616-PP,10/20/2025,10/20/2025,25.35
5874617-PP,10/20/2025,10/20/2025,-1903.34
5874618-PP,10/20/2025,10/20/2025,36.59
5874619-PP,10/20/2025,10/20/2025,-1647.29
5874620-PP,10/20/2025,10/20/2025,27.95
5874621-PP,10/20/2025,10/20/2025,-1443.26
5874622-PP,10/20/2025,10/20/2025,28.87
5874623-PP,10/20/2025,10/20/2025,-1475.1
5874624-PP,10/20/2025,10/20/2025,27.8
5874625-PP,10/20/2025,10/20/2025,-1496.24
5874626-PP,10/20/2025,10/20/2025,27.84
5874627-PP,10/20/2025,10/20/2025,-1375.38
5874628-PP,10/20/2025,10/20/2025,25.08
5874629-PP,10/20/2025,10/20/2025,-1798.97
5874630-PP,10/20/2025,10/20/2025,33.88
5874631-PP,10/20/2025,10/20/2025,-1414.94
5874632-PP,10/20/2025,10/20/2025,25.5
5874633-PP,10/20/2025,10/20/2025,-1564.39
5874634-PP,10/20/2025,10/20/2025,24.46
5874635-PP,10/20/2025,10/20/2025,-1472.97
5874636-PP,10/20/2025,10/20/2025,27.21
5874637-PP,10/20/2025,10/20/2025,-1834.34
5874638-PP,10/20/2025,10/20/2025,33.65
5874639-PP,10/20/2025,10/20/2025,-1759.76
5874640-PP,10/20/2025,10/20/2025,31.09
5874641-PP,10/20/2025,10/20/2025,-1477.77
5874642-PP,10/20/2025,10/20/2025,27.63
5874643-PP,10/20/2025,10/20/2025,-2076.22
5874644-PP,10/20/2025,10/20/2025,36.11
5874645-PP,10/20/2025,10/20/2025,-1522.74
5874646-PP,10/20/2025,10/20/2025,27.56
5874647-PP,10/20/2025,10/20/2025,-1609.57
5874648-PP,10/20/2025,10/20/2025,29.55
5874649-PP,10/20/2025,10/20/2025,-1182.39
5874650-PP,10/20/2025,10/20/2025,21.36
5874651-PP,10/20/2025,10/20/2025,-1383.36
5874652-PP,10/20/2025,10/20/2025,25.84
5874653-PP,10/20/2025,10/20/2025,-1832.78
5874654-PP,10/20/2025,10/20/2025,29.99
5874655-PP,10/20/2025,10/20/2025,-1705.58
5874656-PP,10/20/2025,10/20/2025,30.34
5874657-PP,10/20/2025,10/20/2025,-1737.77
5874658-PP,10/20/2025,10/20/2025,32.44
5874659-PP,10/20/2025,10/20/2025,-1603.1
5874660-PP,10/20/2025,10/20/2025,29.7
5874661-PP,10/20/2025,10/20/2025,-1524.36
5874662-PP,10/20/2025,10/20/2025,27.82
5874663-PP,10/20/2025,10/20/2025,-1843.14
5874664-PP,10/20/2025,10/20/2025,33.31
5874665-PP,10/20/2025,10/20/2025,-1519.77
5874666-PP,10/20/2025,10/20/2025,27.84
5874667-PP,10/20/2025,10/20/2025,-1834.11
5874668-PP,10/20/2025,10/20/2025,30.57
5874669-PP,10/20/2025,10/20/2025,-265.67
5874670-PP,10/20/2025,10/20/2025,4.3
5874671-PP,10/20/2025,10/20/2025,-1643.21
5874672-PP,10/20/2025,10/20/2025,27.24
5874673-PP,10/20/2025,10/20/2025,-1620.04
5874674-PP,10/20/2025,10/20/2025,25.71
5874675-PP,10/20/2025,10/20/2025,-1903.76
5874676-PP,10/20/2025,10/20/2025,33.74
5874677-PP,10/20/2025,10/20/2025,-1645.22
5874678-PP,10/20/2025,10/20/2025,28.76
5874679-PP,10/20/2025,10/20/2025,-1750.11
5874680-PP,10/20/2025,10/20/2025,29.71
5874681-PP,10/20/2025,10/20/2025,25
5873734-PP,10/20/2025,10/20/2025,-1200.35
5873735-PP,10/20/2025,10/20/2025,22.65
5873736-PP,10/20/2025,10/20/2025,-1366.89
5873737-PP,10/20/2025,10/20/2025,25.32
5873738-PP,10/20/2025,10/20/2025,-1124.64
5873739-PP,10/20/2025,10/20/2025,21.98
5873740-PP,10/20/2025,10/20/2025,-1440.99
5873741-PP,10/20/2025,10/20/2025,30.65
5873742-PP,10/20/2025,10/20/2025,-1704.05
5873743-PP,10/20/2025,10/20/2025,35.56
5873744-PP,10/20/2025,10/20/2025,-1523.69
5873745-PP,10/20/2025,10/20/2025,27.87
5873746-PP,10/20/2025,10/20/2025,-1434.63
5873747-PP,10/20/2025,10/20/2025,27.78
5873748-PP,10/20/2025,10/20/2025,-1325.85
5873749-PP,10/20/2025,10/20/2025,25.96
5873750-PP,10/20/2025,10/20/2025,-1065.6
5873751-PP,10/20/2025,10/20/2025,20.47
5873752-PP,10/20/2025,10/20/2025,-1525.44
5873753-PP,10/20/2025,10/20/2025,28.48
5873959-PP,10/20/2025,10/20/2025,-1199.41
5873960-PP,10/20/2025,10/20/2025,22.37
5873961-PP,10/20/2025,10/20/2025,-1206.91
5873962-PP,10/20/2025,10/20/2025,22.7
5873963-PP,10/20/2025,10/20/2025,-1313.44
5873964-PP,10/20/2025,10/20/2025,24.84
5873965-PP,10/20/2025,10/20/2025,-607.51
5873966-PP,10/20/2025,10/20/2025,10.78
5873967-PP,10/20/2025,10/20/2025,-12.06
5873968-PP,10/20/2025,10/20/2025,-0.1
5873969-PP,10/20/2025,10/20/2025,-737.04
5873970-PP,10/20/2025,10/20/2025,16.03
5873971-PP,10/20/2025,10/20/2025,-784.09
5873972-PP,10/20/2025,10/20/2025,15.76
5873973-PP,10/20/2025,10/20/2025,-1200.01
5873974-PP,10/20/2025,10/20/2025,22.92
5873975-PP,10/20/2025,10/20/2025,-907.59
5873976-PP,10/20/2025,10/20/2025,17.82
5873977-PP,10/20/2025,10/20/2025,-1125.51
5873978-PP,10/20/2025,10/20/2025,19.76
5873979-PP,10/20/2025,10/20/2025,-1003.04
5873980-PP,10/20/2025,10/20/2025,16.54
5873981-PP,10/20/2025,10/20/2025,-1028.77
5873982-PP,10/20/2025,10/20/2025,20.11
5873983-PP,10/20/2025,10/20/2025,-1043.21
5873984-PP,10/20/2025,10/20/2025,20.32
5873985-PP,10/20/2025,10/20/2025,-42.8
5873986-PP,10/20/2025,10/20/2025,0.99
5873987-PP,10/20/2025,10/20/2025,-796.14
5873988-PP,10/20/2025,10/20/2025,16.62
5873989-PP,10/20/2025,10/20/2025,-1063.51
5873990-PP,10/20/2025,10/20/2025,23.17
5873991-PP,10/20/2025,10/20/2025,-183.15
5873992-PP,10/20/2025,10/20/2025,-1.62
5873993-PP,10/20/2025,10/20/2025,-1479.02
5873994-PP,10/20/2025,10/20/2025,26.37
5873995-PP,10/20/2025,10/20/2025,-1108.34
5873996-PP,10/20/2025,10/20/2025,20.38
5873997-PP,10/20/2025,10/20/2025,-1090.26
5873998-PP,10/20/2025,10/20/2025,24.29
5873999-PP,10/20/2025,10/20/2025,-1409.8
5874000-PP,10/20/2025,10/20/2025,28.04
5874001-PP,10/20/2025,10/20/2025,-999.83
5874002-PP,10/20/2025,10/20/2025,19.35
5874003-PP,10/20/2025,10/20/2025,-1457.52
5874004-PP,10/20/2025,10/20/2025,26.24
5874005-PP,10/20/2025,10/20/2025,-1117.55
5874006-PP,10/20/2025,10/20/2025,22.25
5874007-PP,10/20/2025,10/20/2025,-1242.56
5874008-PP,10/20/2025,10/20/2025,21.61
5874009-PP,10/20/2025,10/20/2025,-989.26
5874010-PP,10/20/2025,10/20/2025,19.84
5874011-PP,10/20/2025,10/20/2025,-956.05
5874012-PP,10/20/2025,10/20/2025,17.27
5874013-PP,10/20/2025,10/20/2025,-809.16
5874014-PP,10/20/2025,10/20/2025,14.34
5874015-PP,10/20/2025,10/20/2025,-869.93
5874016-PP,10/20/2025,10/20/2025,19.05
5874017-PP,10/20/2025,10/20/2025,-1090.51
5874018-PP,10/20/2025,10/20/2025,22.82
5874019-PP,10/20/2025,10/20/2025,-1035.39
5874020-PP,10/20/2025,10/20/2025,22.87
5874021-PP,10/20/2025,10/20/2025,-1166
5874022-PP,10/20/2025,10/20/2025,23.84
5874023-PP,10/20/2025,10/20/2025,-207.37
5874024-PP,10/20/2025,10/20/2025,4.32
5874025-PP,10/20/2025,10/20/2025,-741.05
5874026-PP,10/20/2025,10/20/2025,15.42
5874027-PP,10/20/2025,10/20/2025,-612.66
5874028-PP,10/20/2025,10/20/2025,14.12
5874029-PP,10/20/2025,10/20/2025,-978.68
5874030-PP,10/20/2025,10/20/2025,20.3
5874031-PP,10/20/2025,10/20/2025,-28
5874032-PP,10/20/2025,10/20/2025,-0.24
5874033-PP,10/20/2025,10/20/2025,-10
5874034-PP,10/20/2025,10/20/2025,0.17
CL49362-IN,10/16/2025,10/21/2025,8174.88
0890120-IN,10/20/2025,11/10/2025,509.76
5873222-PP,10/20/2025,10/20/2025,-41175.75
5873223-PP,10/20/2025,10/20/2025,780.6
5873258-PP,10/20/2025,10/20/2025,27.36
5873259-PP,10/20/2025,10/20/2025,161.96
5873260-PP,10/20/2025,10/20/2025,77.56
5873261-PP,10/20/2025,10/20/2025,21.74
5873262-PP,10/20/2025,10/20/2025,55.82
5873263-PP,10/20/2025,10/20/2025,29.07
5873264-PP,10/20/2025,10/20/2025,62.07
5873265-PP,10/20/2025,10/20/2025,156.69
5873266-PP,10/20/2025,10/20/2025,93.55
5873267-PP,10/20/2025,10/20/2025,74.95
5873268-PP,10/20/2025,10/20/2025,174.28
5873269-PP,10/20/2025,10/20/2025,77.71
5873270-PP,10/20/2025,10/20/2025,72.15
5873271-PP,10/20/2025,10/20/2025,45.72
5873272-PP,10/20/2025,10/20/2025,79.78
5873273-PP,10/20/2025,10/20/2025,20.11
5873274-PP,10/20/2025,10/20/2025,39.63
5873275-PP,10/20/2025,10/20/2025,269.4
5873276-PP,10/20/2025,10/20/2025,103.46
5873277-PP,10/20/2025,10/20/2025,123.41
5873278-PP,10/20/2025,10/20/2025,146
5873279-PP,10/20/2025,10/20/2025,56.85
5873280-PP,10/20/2025,10/20/2025,183.56
5873281-PP,10/20/2025,10/20/2025,55.98
5873282-PP,10/20/2025,10/20/2025,76.7
5873283-PP,10/20/2025,10/20/2025,166.51
5873284-PP,10/20/2025,10/20/2025,75.09
5873285-PP,10/20/2025,10/20/2025,52.65
5873286-PP,10/20/2025,10/20/2025,55.38
5873287-PP,10/20/2025,10/20/2025,87.89
5873288-PP,10/20/2025,10/20/2025,-23.74
5873289-PP,10/20/2025,10/20/2025,53.07
5873290-PP,10/20/2025,10/20/2025,-2.9
5873291-PP,10/20/2025,10/20/2025,-3.98
5873292-PP,10/20/2025,10/20/2025,-6.57
CL49334-IN,10/16/2025,11/5/2025,4147.95
S346641-IN,10/16/2025,11/10/2025,447.2
S071957-IN,10/16/2025,11/10/2025,484.42
S071958-IN,10/16/2025,11/10/2025,376.27
CL49363-IN,10/16/2025,10/21/2025,2925.22
0001041-IN,10/20/2025,10/20/2025,100
5873226-PP,10/20/2025,10/20/2025,-3994.35
5873227-PP,10/20/2025,10/20/2025,97.81
5873296-PP,10/20/2025,10/20/2025,-4.2
5873297-PP,10/20/2025,10/20/2025,8.57
5873298-PP,10/20/2025,10/20/2025,-0.47
5873299-PP,10/20/2025,10/20/2025,-1.38
S346633-IN,10/16/2025,11/10/2025,449.96
5873376-PP,10/20/2025,10/20/2025,-1640.05
5873377-PP,10/20/2025,10/20/2025,27.64
5873378-PP,10/20/2025,10/20/2025,-1136.17
5873379-PP,10/20/2025,10/20/2025,20.48
5873380-PP,10/20/2025,10/20/2025,-1197.92
5873381-PP,10/20/2025,10/20/2025,20.08
5873382-PP,10/20/2025,10/20/2025,-878.75
5873383-PP,10/20/2025,10/20/2025,17.93
5873384-PP,10/20/2025,10/20/2025,-1198.55
5873385-PP,10/20/2025,10/20/2025,23.43
5873386-PP,10/20/2025,10/20/2025,-273.13
5873387-PP,10/20/2025,10/20/2025,5.01
5873388-PP,10/20/2025,10/20/2025,-863.98
5873389-PP,10/20/2025,10/20/2025,17.41
5873390-PP,10/20/2025,10/20/2025,-35.19
5873391-PP,10/20/2025,10/20/2025,-0.59
5873789-PP,10/20/2025,10/20/2025,-59.11
5873790-PP,10/20/2025,10/20/2025,1.63
S346427-IN,10/16/2025,11/10/2025,310.57
0890215-IN,10/17/2025,11/10/2025,2588.4
5874992-PP,10/20/2025,10/20/2025,-862.01
5874993-PP,10/20/2025,10/20/2025,17.63
5874994-PP,10/20/2025,10/20/2025,-986.39
5874995-PP,10/20/2025,10/20/2025,17.76
5874996-PP,10/20/2025,10/20/2025,-659.34
5874997-PP,10/20/2025,10/20/2025,13.88
5874998-PP,10/20/2025,10/20/2025,-755.78
5874999-PP,10/20/2025,10/20/2025,14.5
5875000-PP,10/20/2025,10/20/2025,-307.03
5875001-PP,10/20/2025,10/20/2025,6.24
5875002-PP,10/20/2025,10/20/2025,-945.17
5875003-PP,10/20/2025,10/20/2025,18.46
0890236-IN,10/16/2025,11/10/2025,197.02
0889749-IN,10/17/2025,11/10/2025,580.35
5873167-PP,10/20/2025,10/20/2025,-20352.18
5875004-PP,10/20/2025,10/20/2025,-856.27
5875005-PP,10/20/2025,10/20/2025,16.98
5875006-PP,10/20/2025,10/20/2025,-644.35
5875007-PP,10/20/2025,10/20/2025,10.83
5875008-PP,10/20/2025,10/20/2025,-100.82
5875009-PP,10/20/2025,10/20/2025,1.12
W266847-CM,10/17/2025,1/0/1900,-583.13
W266848-CM,10/17/2025,1/0/1900,-441.52
W266849-CM,10/17/2025,1/0/1900,-624.79
W266850-CM,10/17/2025,1/0/1900,-624.79
W266852-CM,10/17/2025,1/0/1900,-432.94
W266860-CM,10/17/2025,1/0/1900,-624.44
5874824-PP,10/20/2025,10/20/2025,-19.96
5874825-PP,10/20/2025,10/20/2025,0.39
5874826-PP,10/20/2025,10/20/2025,-1161.03
5874827-PP,10/20/2025,10/20/2025,24.38
5874828-PP,10/20/2025,10/20/2025,-1136.39
5874829-PP,10/20/2025,10/20/2025,25.94
5874830-PP,10/20/2025,10/20/2025,-1158.89
5874831-PP,10/20/2025,10/20/2025,21.58
5874832-PP,10/20/2025,10/20/2025,-1367.97
5874833-PP,10/20/2025,10/20/2025,28.15
5874834-PP,10/20/2025,10/20/2025,-1220.04
5874835-PP,10/20/2025,10/20/2025,27.64
5874836-PP,10/20/2025,10/20/2025,-346.64
5874837-PP,10/20/2025,10/20/2025,6.37
W266812-IN,10/17/2025,11/10/2025,468
W266858-CM,10/17/2025,1/0/1900,-103.76
5874838-PP,10/20/2025,10/20/2025,-26.58
5874839-PP,10/20/2025,10/20/2025,0.6
CL49335-IN,10/16/2025,11/5/2025,60.52
0888448-IN,10/20/2025,11/9/2025,319.41
0890125-IN,10/20/2025,11/9/2025,246.06
S050581-IN,10/17/2025,11/10/2025,883.76
SEP0255-PP,10/17/2025,10/17/2025,-2.95
5873506-PP,10/20/2025,10/20/2025,-1172.97
5873507-PP,10/20/2025,10/20/2025,20.38
5873508-PP,10/20/2025,10/20/2025,-1546.59
5873509-PP,10/20/2025,10/20/2025,31.29
5873510-PP,10/20/2025,10/20/2025,-1254.77
5873511-PP,10/20/2025,10/20/2025,24.47
5873512-PP,10/20/2025,10/20/2025,-1469.91
5873513-PP,10/20/2025,10/20/2025,25.1
5873514-PP,10/20/2025,10/20/2025,-778.29
5873515-PP,10/20/2025,10/20/2025,12.98
5873516-PP,10/20/2025,10/20/2025,-19.26
5873517-PP,10/20/2025,10/20/2025,0.61
5873518-PP,10/20/2025,10/20/2025,-1406.58
5873519-PP,10/20/2025,10/20/2025,22.04
5873520-PP,10/20/2025,10/20/2025,-65.01
5873521-PP,10/20/2025,10/20/2025,-1.11
0889477-IN,10/16/2025,11/10/2025,1574.38
5874858-PP,10/20/2025,10/20/2025,-1014.23
5874859-PP,10/20/2025,10/20/2025,18.73
5874860-PP,10/20/2025,10/20/2025,-946.55
5874861-PP,10/20/2025,10/20/2025,18.73
5874862-PP,10/20/2025,10/20/2025,-151.13
5874863-PP,10/20/2025,10/20/2025,-3.3
5874864-PP,10/20/2025,10/20/2025,-962.62
5874865-PP,10/20/2025,10/20/2025,18.33
5874866-PP,10/20/2025,10/20/2025,-1235.17
5874867-PP,10/20/2025,10/20/2025,24.56
5874868-PP,10/20/2025,10/20/2025,-1314.09
5874869-PP,10/20/2025,10/20/2025,30.07
5874870-PP,10/20/2025,10/20/2025,-1105.73
5874871-PP,10/20/2025,10/20/2025,21.54
5874872-PP,10/20/2025,10/20/2025,-1255.29
5874873-PP,10/20/2025,10/20/2025,24.66
5874874-PP,10/20/2025,10/20/2025,-1176.02
5874875-PP,10/20/2025,10/20/2025,22.65
5874876-PP,10/20/2025,10/20/2025,-1139.42
5874877-PP,10/20/2025,10/20/2025,24.81
5874878-PP,10/20/2025,10/20/2025,-962.1
5874879-PP,10/20/2025,10/20/2025,20.3
5874880-PP,10/20/2025,10/20/2025,-796.28
5874881-PP,10/20/2025,10/20/2025,18.83
5874882-PP,10/20/2025,10/20/2025,-888.98
5874883-PP,10/20/2025,10/20/2025,20.6
5874884-PP,10/20/2025,10/20/2025,-1157.53
5874885-PP,10/20/2025,10/20/2025,23.14
5874886-PP,10/20/2025,10/20/2025,-990.64
5874887-PP,10/20/2025,10/20/2025,21.47
5874888-PP,10/20/2025,10/20/2025,-619.53
5874889-PP,10/20/2025,10/20/2025,14.45
5874890-PP,10/20/2025,10/20/2025,-677.04
5874891-PP,10/20/2025,10/20/2025,14.96
5874892-PP,10/20/2025,10/20/2025,-723.94
5874893-PP,10/20/2025,10/20/2025,14.84
5874894-PP,10/20/2025,10/20/2025,-1066.64
5874895-PP,10/20/2025,10/20/2025,22.08
0101625-PP,10/16/2025,10/16/2025,-400
5874912-PP,10/20/2025,10/20/2025,-804.58
5874913-PP,10/20/2025,10/20/2025,15.37
5874914-PP,10/20/2025,10/20/2025,-1064.52
5874915-PP,10/20/2025,10/20/2025,19.58
5874916-PP,10/20/2025,10/20/2025,-951.32
5874917-PP,10/20/2025,10/20/2025,18.69
5874918-PP,10/20/2025,10/20/2025,-1161.4
5874919-PP,10/20/2025,10/20/2025,21.96
5874920-PP,10/20/2025,10/20/2025,-1004.66
5874921-PP,10/20/2025,10/20/2025,20.51
5874922-PP,10/20/2025,10/20/2025,-946.03
5874923-PP,10/20/2025,10/20/2025,19.51
5874924-PP,10/20/2025,10/20/2025,-578.19
5874925-PP,10/20/2025,10/20/2025,12.58
5874926-PP,10/20/2025,10/20/2025,-752.18
5874927-PP,10/20/2025,10/20/2025,15.52
5874928-PP,10/20/2025,10/20/2025,-56.72
5874929-PP,10/20/2025,10/20/2025,1.44
5874930-PP,10/20/2025,10/20/2025,-857.87
5874931-PP,10/20/2025,10/20/2025,16.3
5874932-PP,10/20/2025,10/20/2025,-628.5
5874933-PP,10/20/2025,10/20/2025,14.44
0890231-IN,10/17/2025,11/10/2025,1757.41
CL49364-IN,10/16/2025,10/21/2025,324.92
5873801-PP,10/20/2025,10/20/2025,-99.4
5873802-PP,10/20/2025,10/20/2025,2.24
5873803-PP,10/20/2025,10/20/2025,-662.85
5873804-PP,10/20/2025,10/20/2025,15.03
5873030-PP,10/20/2025,10/20/2025,-13.91
5873031-PP,10/20/2025,10/20/2025,0.4
5873032-PP,10/20/2025,10/20/2025,-57.22
5873033-PP,10/20/2025,10/20/2025,-7855
5873034-PP,10/20/2025,10/20/2025,161.17
5873035-PP,10/20/2025,10/20/2025,-1240.85
5873036-PP,10/20/2025,10/20/2025,27.12
S050569-IN,10/16/2025,11/10/2025,374
S345884-IN,10/16/2025,11/10/2025,246.42
CL49336-IN,10/16/2025,11/5/2025,60.99
